,Dates,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW
1,1,25.63,25.53,25.28,25.89,22249212,1276.5,5.2058,10.4975,5.9627,53.5779,82.6653
2,2,25.77,25.42,25.3,26.12,35153292,1271,5.1833,10.4522,5.937,53.347,82.3091
3,3,25.83,26.25,25.7,26.39,48195118,1312.5,5.3526,10.7935,6.1308,55.0889,84.9967
4,4,26.62,27.073,26.11,27.23,82016745,1353.625,5.5203,11.1317,6.3229,56.815,87.6599
5,5,26.86,27.39,26.61,27.8,64566510,1369.5,5.585,11.2623,6.3971,57.4813,88.6879
6,6,27.19,26.849,26.63,27.2,27255982,1342.45,5.4747,11.0398,6.2707,56.346,86.9362
7,7,26.58,26.59,26.42,26.89,21311013,1329.5,5.4219,10.9333,6.2103,55.8024,86.0976
8,8,27.01,27.57,26.9,27.84,45949361,1378.5,5.6217,11.3363,6.4391,57.8591,89.2708
9,9,27.48,28.018,27.25,28.1,33368462,1400.875,5.713,11.5203,6.5437,58.7982,90.7198
10,10,28,27.4,27.24,28,28697400,1370,5.5870999999999995,11.2664,6.3994,57.5023,88.7203
11,11,27.16,26.52,26.36,27.48,30275356,1326,5.4076,10.9045,6.1939,55.6555,85.8709
12,12,26.81,26.92,26.4,27.11,27396392,1346,5.4892,11.069,6.2873,56.495,87.1661
13,13,26.65,26.625,26.39,27.2,26440537,1331.25,5.429,10.9477,6.2184,55.8759,86.2109
14,14,26.82,25.69,25.15,26.82,39058905,1284.5,5.2384,10.5633,6.0001,53.9137,83.1834
15,15,25.62,25.73,25.33,25.96,20380862,1286.5,5.2465,10.5797,6.0094,53.9976,83.3129
16,16,25.81,25.97,25.7,26.36,25687549,1298.5,5.2955,10.6784,6.0655,54.5013,84.09
17,17,26.215,25.98,25.77,26.33,25191467,1299,5.2975,10.6825,6.0678,54.5223,84.1224
18,18,25.93,26.11,25.8,26.4,19729809,1305.5,5.324,10.736,6.0982,54.7951,84.5433
19,19,26.07,26.14,26,26.4,17149965,1307,5.3301,10.7483,6.1052,54.8581,84.6405
20,20,26.6,26.85,26.6,27.62,33017958,1342.5,5.4749,11.0402,6.271,56.3481,86.9394
21,21,27.16,26.98,26.86,27.41,29201070,1349,5.5014,11.0937,6.3013,56.6209,87.3604
22,22,27.13,27.769,27.005,27.85,36245633,1388.45,5.6623,11.4181,6.4856,58.2767,89.9151
23,23,27.85,27.43,27.31,27.915,64567590,1371.5,5.5931999999999995,11.2787,6.4064,57.5653,88.8175
24,24,28.01,28.97,27.98,29.02,104256921,1448.5,5.9072,11.9119,6.7661,60.7972,93.8039
25,25,29.04,28.311,28.15,29.07,58506376,1415.55,5.7728,11.641,6.6122,59.4142,91.6701
26,26,28.33,27.57,27.48,28.46,43939307,1378.5,5.6217,11.3363,6.4391,57.8591,89.2708
27,27,27.55,26.889,26.85,27.85,41259083,1344.45,5.4829,11.0563,6.2801,56.4299,87.0657
28,28,26.88,27.12,26.65,27.3,34654851,1356,5.53,11.1512,6.334,56.9147,87.8137
29,29,27.08,27.04,26.85,27.55,33457150,1352,5.5137,11.1183,6.3154,56.7468,87.5547
