,Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW,next_price,is_up
1826,2557,524.0,501.25,542.96,497.0,17771485,3314.4628,10.4993,3.6167,11.1208,27.0788,83.4019,545.0,True
1827,2558,481.56,504.0,513.955,475.1,13353180,3046.0166,9.6489,3.3238,10.2201,24.8857,76.647,554.2,True
1828,2559,454.47,481.03,494.26,446.4,19858427,2874.664,9.1061,3.1368,9.6452,23.4857,72.3353,562.09,True
1829,2560,480.01,509.5,515.49,468.39,22562076,3036.2124,9.6179,3.3131,10.1872,24.8056,76.4003,562.09,True
1830,2563,516.24,511.2,521.0,497.96,14901836,3265.3784,10.3438,3.5631,10.9561,26.6778,82.1668,590.16,True
1831,2564,545.45,545.0,565.0,532.34,17919784,3450.1407,10.9291,3.7647,11.576,28.1873,86.816,698.97,True
1832,2565,548.84,554.2,557.208,533.33,12656024,3471.5835,10.997,3.7881,11.648,28.3625,87.3556,742.0,True
1833,2566,573.0,562.09,575.182,557.11,13650000,3624.403,11.4811,3.9549,12.1607,29.611,91.201,716.94,True
1834,2567,573.0,562.09,575.182,557.11,13650000,3624.403,11.4811,3.9549,12.1607,29.611,91.201,772.28,True
1835,2570,650.95,590.16,652.0,580.53,22475421,4117.461,13.043,4.4929,13.815,33.6393,103.6078,732.7,True
1836,2571,709.89,698.97,741.88,692.43,30576511,4490.2748,14.2239,4.8997,15.0659,36.6851,112.9889,730.12,True
1837,2572,729.83,742.0,753.13,710.0,23577001,4616.4015,14.6235,5.0374,15.4891,37.7155,116.1627,703.98,False
1838,2573,745.21,716.94,759.45,706.715,20657862,4713.6848,14.9316,5.1435,15.8155,38.5103,118.6106,727.6,True
1839,2574,753.89,772.28,774.95,747.66,13128237,4768.5885,15.1056,5.2034,15.9997,38.9589,119.9921,710.81,False
1840,2577,746.36,732.7,765.57,712.21,14746577,4720.9589,14.9547,5.1514,15.8399,38.5698,118.7936,737.61,True
1841,2578,686.72,730.12,753.33,673.79,20209093,4343.7174,13.7597,4.7398,14.5742,35.4877,109.3011,795.64,True
1842,2579,732.11,703.98,734.0,688.71,14224831,4630.8232,14.6692,5.0531,15.5375,37.8334,116.5256,790.17,True
